epoch,accuracy,loss,val_accuracy,val_loss
0,0.4253835380077362,1.0546600818634033,0.2432216852903366,1.0315163135528564
1,0.547917902469635,0.9542967081069946,0.8891547322273254,0.8525100350379944
2,0.6124725937843323,0.8374768495559692,0.7783094048500061,0.796740710735321
3,0.6473401188850403,0.8061683773994446,0.5350877046585083,1.0522819757461548
4,0.6887826323509216,0.7364269495010376,0.7990430593490601,0.6330496668815613
5,0.7057182788848877,0.7154780030250549,0.6985645890235901,0.87428879737854
6,0.7194660305976868,0.666948139667511,0.740829348564148,0.7281527519226074
7,0.7280334830284119,0.65010666847229,0.759170651435852,0.61322021484375
8,0.7338114976882935,0.6301363110542297,0.7256778478622437,0.6738089323043823
9,0.7441721558570862,0.5951977968215942,0.6762360334396362,0.7180518507957458
