epoch,accuracy,loss,val_accuracy,val_loss
0,0.6182506680488586,0.8165461421012878,0.6618819832801819,0.6688329577445984
1,0.7352061867713928,0.6093040108680725,0.6874003410339355,0.635417640209198
2,0.7834230065345764,0.5063422322273254,0.8979266285896301,0.3358578383922577
3,0.8087268471717834,0.44677141308784485,0.8365231156349182,0.4031873345375061
4,0.8433951139450073,0.4021807312965393,0.8421052694320679,0.3970658481121063
5,0.8489738702774048,0.3676277697086334,0.8835725784301758,0.3355569839477539
6,0.8683004379272461,0.33341121673583984,0.8835725784301758,0.3341802954673767
7,0.8808527588844299,0.2987074553966522,0.9529505372047424,0.16954608261585236
8,0.8959951996803284,0.27565521001815796,0.9377990365028381,0.21251341700553894
9,0.9023709893226624,0.25335416197776794,0.8955342769622803,0.3211745023727417
