epoch,accuracy,loss,val_accuracy,val_loss
0,0.5722255706787109,0.8938198685646057,0.5733652114868164,0.7446156144142151
1,0.671249270439148,0.733676016330719,0.79984050989151,0.5563472509384155
2,0.7057182788848877,0.6694517731666565,0.8843700289726257,0.3593157231807709
3,0.7112970948219299,0.6390618085861206,0.8421052694320679,0.4302065074443817
4,0.7411835193634033,0.6062418818473816,0.8245614171028137,0.43164801597595215
5,0.7589161396026611,0.5727866888046265,0.7918660044670105,0.49294427037239075
6,0.7549312710762024,0.5758194923400879,0.8732057213783264,0.357866495847702
7,0.7674835920333862,0.5570180416107178,0.7886762619018555,0.4897991120815277
8,0.765092670917511,0.5536633133888245,0.7663477063179016,0.5335375070571899
9,0.770272970199585,0.5396925210952759,0.8237639665603638,0.4133308529853821
