epoch,accuracy,loss,val_accuracy,val_loss
0,0.3825463354587555,1.2347990274429321,0.0,1.1289077997207642
1,0.35823869705200195,1.0979124307632446,0.0,1.1081126928329468
2,0.3821478486061096,1.0939970016479492,0.4266347587108612,1.107145071029663
3,0.4018728733062744,1.0622963905334473,0.0007974481559358537,1.213591456413269
4,0.4622434675693512,1.0079041719436646,0.6052631735801697,1.1619631052017212
5,0.5102609992027283,0.9299655556678772,0.8189792633056641,0.7988888025283813
6,0.6929666996002197,0.7415247559547424,0.5829346179962158,0.9529790878295898
7,0.7368001341819763,0.6495881676673889,0.9665071964263916,0.26357588171958923
8,0.7407850027084351,0.6066657900810242,0.9043062329292297,0.4174184501171112
9,0.7708706855773926,0.5575338006019592,0.8907495737075806,0.39673957228660583
